과정명,레벨,소요 시간,제공 방법,설명,과정 목표,수강 대상,수강 전 권장 사항,모듈 수,실습 수
Amazon X-Ray를 사용하여 애플리케이션 구축 관찰","숙련된 소프트웨어 개발자
숙련된 솔루션스 아키텍트
AWS 서비스를 사용하여 개발 역량을 높이려는 숙련된 IT 전문가",,0,0
Developing Serverless Solutions on AWS,중급,3일,"강의식 교육(ILT), 실습 및 데모",이 과정에서는 개발자가 AWS Lambda 및 AWS 서버리스 플랫폼의 다른 서비스를 사용하여 서버리스 애플리케이션을 구축하는 모범 사례를 살펴보고 연습할 수 있습니다. 간단한 주제에서 좀 더 복잡한 주제로 진행되는 실습에서 AWS 프레임워크를 사용하여 직접 서버리스 애플리케이션을 배포하게 됩니다. 본 과정 내내 AWS 설명서를 사용하여 강의실을 넘어 진정한 학습 및 문제 해결 방법을 알아봅니다.,"적절한 AWS 서비스를 사용하여 서버리스 애플리케이션 설계에 이벤트 중심의 모범 사례를 적용합니다.
서버리스 개발로 전환하는 데 따른 당면 과제와 절충점을 파악하고 개발 조직 및 환경에 적합한 권장 사항을 제시합니다.
AWS Managed Services를 서로 연결하는 패턴을 사용하여 서버리스 애플리케이션을 구축하고, 서비스 할당량, 사용 가능한 통합, 호출 모델, 오류 처리, 이벤트 소스 페이로드를 비롯한 서비스 특성을 고려합니다.
AWS CloudFormation, AWS Amplify, AWS Serverless Application Model(AWS SAM) 및 AWS Cloud Development Kit(AWS CDK)를 비롯하여 Infrastructure as Code를 작성하는 데 사용할 수 있는 옵션을 비교 및 대조합니다.
오류 처리, 로깅, 환경 재사용, 계층 사용, 상태 비저장, 멱등성, 동시성 및 메모리 구성을 비롯한 모범 사례를 Lambda 함수 작성에 적용합니다.
서버리스 애플리케이션에 관찰 가능성 및 모니터링을 구축하기 위한 모범 사례를 적용합니다.
서버리스 애플리케이션에 보안 모범 사례를 적용합니다.
서버리스 애플리케이션에서 규모 조정을 위한 주요 고려 사항을 식별하고, 각 고려 사항을 이를 관리하기 위한 메서드, 도구 또는 모범 사례와 연결합니다.
AWS SAM, AWS CDK 및 AWS 개발자 도구를 사용하여 CI/CD 워크플로를 구성하고 서버리스 애플리케이션의 배포를 자동화합니다.
지속적인 서버리스 개발 및 서버리스 커뮤니티 참여에 도움이 되는 서버리스 리소스 목록을 만들고 적극적으로 유지 관리합니다.",서버리스에 어느 정도 익숙하고 AWS 클라우드에서 개발한 경험이 있는 개발자,AWS 클라우드 아키텍처의 기본 사항에 대한 지식,0,0
DevOps Engineering on AWS,중급,3일,강의실 및 프라이빗 온사이트 교육,"DevOps Engineering on AWS 과정에서는 가장 일반적인 DevOps 패턴을 사용하여 AWS에서 애플리케이션을 개발, 배포 및 유지 관리하는 방법을 설명합니다. 이 과정에서는 DevOps 방법론의 핵심 원리를 설명하고 스타트업, 중소기업 및 대기업 개발 시나리오에 적용할 수 있는 여러 사용 사례를 살펴봅니다.","1개 이상의 DevOps 개발 프로젝트를 지원하는 AWS 기반 인프라를 설계 및 구현
AWS에 Git을 설정하고 AWS 클라우드에서 지속적 통합 환경을 구현하기 위한 다양한 옵션을 이해
지속적 통합 및 지속적 배포의 핵심 원리 사용
AWS 클라우드에서 제공하는 다양한 애플리케이션 배포 기술(AWS CodeDeploy, AWS OpsWorks, AWS Elastic Beanstalk, Amazon EC2 Container Service 등)을 구분하고 주어진 시나리오에 가장 적합한 기술을 결정
AWS에 배포하는 애플리케이션을 세부적으로 튜닝하여 성능을 높이고, 잠재적 문제를 찾기 위해 AWS 도구 및 기술을 사용하여 애플리케이션 및 환경을 모니터링",소프트웨어 개발자 및 시스템 관리자,,0,0
Generative AI Essentials on AWS,초급,1일,"강의식 교육(ILT), 실습 및 데모","이 과정에서는 생성형 AI를 사용하기 위한 기본 개념, 방법 및 전략에 대해 배웁니다. 생성형 AI가 솔루션을 제공하고 비즈니스 요구 사항을 해결할 수 있는 사용 사례를 확실하게 이해할 수 있습니다. 또한 생성형 AI와 관련된 기술에 대한 실용적인 인사이트와 이러한 기술을 사용하여 실제 문제를 해결하는 방법을 배우게 됩니다. 교육 과정을 마치면 프로젝트 계획과 조직 내 생성형 AI 구현에 대해 논의하는 방법을 살펴보게 됩니다.","생성형 AI의 개념, 방법, 전략 요약
생성형 AI 및 기계 학습과 해당 기술의 적절한 사용에 대한 논의
생성형 AI를 책임감 있고 안전하게 사용하는 방법 설명
특정 사용 사례를 통해 생성형 AI 솔루션의 유형 파악
조직에 생성형 AI의 구현 및 프로젝트 계획 설명","이 과정은 AWS 클라우드에서 Generative AI용 애플리케이션을 구축하려고 하고자 하는 책임 담당자로, 다음 역할을 대상으로 합니다.
비즈니스 분석가
IT 지원가
마케팅 전문가
제품 또는 프로젝트 관리자
사업부 또는 IT 관리자
영업 전문가",,0,0
Migrating to AWS,중급,3일,"강의식 교육(ILT), 실습 및 데모","이 과정은 기존 워크로드를 계획하고 AWS 클라우드로 마이그레이션하는 방법을 이해하고자 하는 개인을 대상으로 합니다. 포트폴리오 검색, 애플리케이션 마이그레이션 계획 및 설계, 마이그레이션 실행, 마이그레이션 후 검증 및 애플리케이션 최적화 등 다양한 클라우드 마이그레이션 전략과 마이그레이션 프로세스의 단계별 적용 방법을 배웁니다. 조직에서 마이그레이션 작업을 완료하는 데 필요한 이해와 기초를 제공하고 학습을 강화하도록 설계된 실습이 포함되어 있습니다.","클라우드 마이그레이션의 일반적인 비즈니스 동인 및 기술적 동인 이해
마이그레이션의 3단계 및 각 단계의 관련 목표, 작업, 이해 관계자 요약
AWS 아키텍처, 도구, 마이그레이션 모범 사례 설명
다양한 클라우드 마이그레이션 전략을 구분하고 가장 적합한 전략을 찾는 방법 설명
조직의 애플리케이션 마이그레이션 준비 상태 확인
포트폴리오 검색 및 마이그레이션에 필요한 데이터 수집
애플리케이션 마이그레이션 전략 계획 및 설계
클라우드로 애플리케이션 마이그레이션 수행 및 검증
클라우드로 마이그레이션한 후 애플리케이션 및 운영 최적화","솔루션스 아키텍트
소프트웨어 엔지니어
IT 프로젝트 관리자
운영 책임자
마이그레이션 프로젝트의 계획 및 실행에 관여하는 기타 개인",엔터프라이즈 IT 인프라(하드웨어 및 소프트웨어)에 대한 기본 지식,0,0
MLOps Engineering on AWS,중급,3일,"강의식 교육(ILT), 실습 및 데모","이 과정은 기계 학습 모델을 구축, 훈련 및 배포하기 위해 소프트웨어 개발에서 널리 사용되는 DevOps 방식을 기반으로 확장됩니다. 이 과정에서는 성공적인 기계 학습 배포를 위해 데이터, 모델 및 코드의 중요성을 강조합니다. 데이터 엔지니어, 데이터 사이언티스트, 소프트웨어 개발자, 운영 간의 이관과 관련된 과제들을 해결하는 데 도구, 자동화, 프로세스, 팀워크를 사용하는 방법을 보여줍니다. 또한 이 과정에서는 프로덕션에서 모델 예측이 합의된 핵심 성과 지표를 벗어나기 시작하는지 모니터링하고 조치를 취하기 위한 도구 및 프로세스의 사용에 대해서도 논의합니다.","기계 학습 운영을 설명
DevOps와 MLOps의 주요 차이점 이해
기계 학습 워크플로 설명
MLOps에서 커뮤니케이션의 중요성 논의
기계 학습 워크플로 자동화를 위한 엔드 투 엔드 옵션 설명
MLOps 자동화를 위한 주요 Amazon SageMaker 기능 나열
모델을 빌드, 훈련, 테스트 및 배포하는 자동화된 기계 학습 프로세스 구축
모델 코드 변경에 따라 모델을 다시 훈련시키는 자동화된 기계 학습 프로세스 구축
배포 프로세스의 요소 및 중요 단계를 파악
모델 패키지에 포함할 수 있는 항목과 훈련 또는 추론 시 이 항목의 사용법을 설명
기계 학습 프레임워크 및 기본 제공 알고리즘 또는 자체 모델에 대한 지원을 포함한 배포용 모델 선택을 위한 Amazon SageMaker 옵션을 파악
기계 학습의 확장과 다른 애플리케이션의 확장을 구별
추론에 대한 다양한 접근 방식을 사용해야 하는 시기를 결정
배포 전략, 이점, 과제 및 일반적인 사용 사례를 논의
엣지 디바이스에 기계 학습을 배포할 때의 과제를 설명
배포 및 추론과 관련된 중요한 Amazon SageMaker 기능을 인식
모니터링이 중요한 이유를 설명
기본 입력 데이터에서 데이터 드리프트를 감지
기계 학습 모델에서 편향을 모니터링하는 방법을 시연
모델 리소스 소비 및 대기 시간을 모니터링하는 방법을 설명
프로덕션에서 모델 결과에 대한 HITL(Human-in-the-Loop) 검토를 통합하는 방법을 논의","DevOps 엔지니어
기계 학습 엔지니어
기계 학습 모델 운영을 담당하는 개발자/운영자",,0,0
Networking Essentials for Cloud Applications on AWS,중급,1일,"강의식 교육(ILT), 실습 및 데모","이 과정을 통해 Amazon Web Services(AWS) 클라우드 환경 내의 네트워킹 개념과 서비스를 포괄적으로 이해할 수 있습니다. 초보 및 숙련된 네트워킹 엔지니어를 위해 설계된 이 과정에서는 필수 주제, 모범 사례, 실습을 다룹니다. 이 과정의 목적은 수강생이 AWS에서 네트워크 인프라를 설계, 구성, 최적화하는 데 필요한 지식과 기술을 갖추도록 하는 것입니다.","네트워킹 서비스 간의 설계 장단점을 고려하여 확장 가능한 프로덕션 애플리케이션을 위한 네트워킹 인프라 설계
가용성이 뛰어나고 탄력적이며 확장 가능한 애플리케이션을 위한 네트워킹 서비스 구성
변화하는 비즈니스 요구 사항에 따라 네트워킹 인프라 구현
AWS Well-Architected Framework에 맞게 조정하도록 네트워킹 모범 사례 구현","새로 입사한 클라우드 엔지니어
온프레미스 IT 엔지니어
클라우드 아키텍트
클라우드 엔지니어
네트워크 엔지니어","네트워킹 개념에 대한 기본 지식
AWS 서비스에 대한 기본 지식",0,0
AWS Technical Essentials 또는 Cloud Practioner Essentials 과정 수강,,,,,,,,0,0
Practical Data Science with Amazon SageMaker,중급,1일,"강의식 교육(ILT), 실습","기계 학습(ML)으로 실제 문제를 해결하고 Amazon SageMaker의 사용에 대해서 학습합니다. 이 과정에서는 데이터 집합 분석 및 시각화부터 데이터 준비, 피쳐 엔지니어링에 이르기까지 기계 학습의 일반적인 데이터 과학 프로세스의 단계를  다룹니다. 또한 Amazon SageMaker를 사용하여 모델 구축, 교육, 튜닝 및 배포에 대한 실용적인 측면을 배우게 됩니다. 과정에서 다루게 되는 예제는 휴대폰 통신사의 고객 이탈 예측 문제 입니다.","학습을 위한 데이터 집합 준비
기계 학습 모델 훈련 및 평가
기계 학습 모델 자동 튜닝
프로덕션을 위한 기계 학습 모델 준비
기계 학습 모델 결과에 대해 비판적으로 생각하기","본 교육 과정의 대상은 다음과 같습니다.
개발자
데이터 사이언티스트","본 과정을 수강하기 전에 다음 조건을 갖추는 것을 권장합니다.
Python 프로그래밍 언어에 익숙
기계 학습(ML)에 대한 기본 이해
등록
https://www.aws.training/SessionSearch?pageNumber=1&courseId=40748",0,0
Practical IaC on AWS with Terraform,중급,1일,"강의식 교육(ILT), 프레젠테이션, 데모, 실습","Terraform 은 전세계에서 가장 널리 쓰이는 IaC 도구 중 하나 입니다. 이 교육 과정에서는 AWS Solutions Architect 가 IaC 도구인 Terraform 을 활용해 AWS 아키텍처를 설계, 프로비저닝 하는 방법과 모범사례를 학습합니다.","IaC 에 대한 이해
Terraform 을 활용하여 AWS 아키텍처를 모델링, 구축, 배포 및 자동화 방법 확인
공동 작업을 위한 설정에 대한 이해
코드 관리 및 재활용 기법에 대한 소개","본 교육 과정의 대상은 다음과 같습니다.
Terraform 기술을 활용해 IaC 를 도입하고자 하는 IT 관련 업무 종사자
AWS 아카데미 학생",본 과정을 수강하기 전에 다음 조건을 갖추는 것을 권장합니다.,0,0
AWS Technical Essentials,,,,"이 과정은 숙련된 개발자에게 프로그래밍 방식으로 AWS 서비스와 상호 작용하여 웹 솔루션을 구축하는 방법을 가르칩니다. 리소스 선택에 관한 상위 수준 아키텍처 논의를 통해 진행하고, AWS 소프트웨어 개발 키트(AWS SDK)와 Command Line Interface(AWS CLI)를 사용하여 클라우드 애플리케이션을 구축하고 배포하는 방법을 심층 탐색합니다. 여러분은 샘플 애플리케이션을 구축하면서 개발 환경에 대한 권한을 설정하는 방법을 배우고, AWS 핵심 서비스를 사용하여 데이터를 처리하고, 사용자 인증을 구성하고, AWS 클라우드에 배포하고, 디버깅을 통해 애플리케이션 문제를 해결하는 비즈니스 로직을 추가합니다. 이 과정에서 설명한 설계 패턴 및 솔루션을 구현하는 데 도움이 되는 코드 예제가 포함되어 있습니다. 이러한 실습은 주요 과정 콘텐츠를 보강하며, Python, .NET, Java용 AWS SDK, AWS CLI, AWS Management Console을 사용하여 솔루션을 구현하는 데 도움이 됩니다.","이 과정에서 학습할 내용은 다음과 같습니다.
개발 환경을 지원하도록 IAM 권한 구성
AWS SDK를 사용한 클라우드 네이티브 애플리케이션 설계, 다이어그램, 구축, 배포
AWS 리소스를 사용하여 애플리케이션 모니터링 및 유지 관리","소프트웨어 개발자
솔루션스 아키텍트
AWS 서비스를 사용하여 개발 역량을 높이려는 숙련된 기술 전문가",핵심 AWS 서비스에 대한 지식(과정: AWS Cloud Practitioner Essentials),0,0
Running Containers on Amazon Elastic Kubernetes Service (Amazon EKS),중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정에서는 Amazon EKS를 사용하여 Kubernetes로 컨테이너를 관리하고 오케스트레이션하는 방법을 알아봅니다. Amazon EKS를 사용하면 자체 Kubernetes 제어 영역을 설치, 운영, 유지 관리할 필요 없이 AWS에서 Kubernetes를 실행할 수 있습니다. Amazon Elastic Container Registry(Amazon ECR)를 사용하여 컨테이너 이미지를 관리하고 애플리케이션 배포를 자동화하는 방법을 배우게 됩니다. 지속적 통합(CI) 및 지속적 전달(CD) 도구를 사용하여 애플리케이션을 배포합니다. 지표, 기록, 추적, 수평적 및 수직적 크기 조정을 이용하여 환경을 모니터링하고 크기를 조정하는 방법을 배우게 됩니다. 또한 컨테이너식 애플리케이션의 스토리지를 관리하고, 클러스터를 지원하도록 AWS 네트워킹 서비스를 구성하고, Amazon EKS 환경을 보호하는 방법을 배우게 됩니다.","Kubernetes API의 핵심 객체 및 주요 구성 요소를 포함하여 Kubernetes의 기본 구성 요소에 관해 설명합니다.
Amazon EKS가 Kubernetes 제어 영역과 데이터 영역의 일부를 관리하는 방법을 설명합니다.
Amazon EKS 클러스터를 구축하고 유지 관리합니다.
Amazon EKS 클러스터에 애플리케이션을 배포합니다.
엔터프라이즈 규모 Amazon EKS 클러스터에서 실행되는 애플리케이션을 관리합니다.
클러스터 내부에서 그리고 외부 서비스와 효율적이고 안전한 통신을 구성합니다.
Amazon EKS 클러스터에서 관찰 기능을 구성합니다.
Amazon EKS에서 실행되는 애플리케이션을 위한 스토리지를 프로비저닝합니다.
Amazon EKS 클러스터를 보호합니다.","클라우드 아키텍트
DevOps 엔지니어
시스템 관리자","Introduction to Containers 이수
Amazon EKS Primer 이수
AWS Cloud Practitioner Essentials 이수(또는 이에 상응하는 실제 경험 보유)
기본적인 Linux 관리 경험
기본적인 네트워크 관리 경험
등록
www.aws.training/training/schedule?courseId=53846",0,0
Security Engineering on AWS,중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동","AWS 보안 서비스를 사용하여 AWS 클라우드에서 보안을 유지하는 방법을 배웁니다. AWS에서 권장하는 보안 사례를 통해 클라우드에서 데이터 및 시스템 보안을 강화합니다. 이 과정에서는 컴퓨팅, 스토리지, 네트워킹, 데이터베이스 서비스 등 AWS 주요 서비스의 보안 기능을 살펴봅니다. 또한 자동화, 지속적 모니터링 및 로깅, 보안 인시던트에 대한 대응에 사용되는 AWS 서비스 및 도구의 사용 방법도 알아봅니다.","이 과정에서 학습할 내용은 다음과 같습니다.
AWS 아키텍팅 기본 관행 파악
계정 보안의 기본 사항
프라이빗 서브넷과 퍼블릭 서브넷이 포함된 안전한 가상 네트워크를 구축하는 전략 파악
AWS에서 멀티 티어 아키텍처 구축 연습
비즈니스 사용 사례에 따라 적절한 컴퓨팅 리소스를 선택하는 전략 파악
비즈니스 시나리오를 기반으로 AWS 스토리지 제품과 서비스 비교 및 대조
비즈니스 요구를 기준으로 AWS 데이터베이스 서비스 비교 및 대조
비즈니스 요구를 기준으로 모니터링, 로드 밸런싱, Auto Scaling 응답의 역할 파악
인프라 구축, 유지 관리, 발전에 도움이 되는 AWS 자동화 도구 파악 및 논의
하이브리드 네트워킹, 네트워크 피어링, 그리고 인프라 확장과 보호에 사용할 게이트웨이 및 라우팅 솔루션 관련 논의
인프라에 구애 받지 않는 휴대용 애플리케이션 환경의 신속한 구현에 사용 가능한 AWS 컨테이너 서비스 살펴보기
비즈니스 사례에 따른 AWS 서버리스 서비스의 비즈니스 및 보안 이점 파악
AWS 엣지 서비스에서 지연 시간 및 보안을 해결하는 방법 논의
복원력과 비즈니스 연속성을 보장하기 위한 AWS 백업, 복구 솔루션, 모범 사례 살펴보기","솔루션 아키텍트
솔루션 디자인 엔지니어
AWS 아키텍팅에 대해 파악하려는 개발자
AWS Solutions Architect-Associate 자격증을 취득하려는 개인 사용자","IT 보안 사례 및 인프라 개념에 대한 실무 지식
클라우드 컴퓨팅 개념에 대한 이해
AWS Cloud Practitioner Essentials(Second Edition) free digital 과정 또는 classroom 과정, AWS Security Fundamentals 디지털 교육 및 Architecting on AWS 강의실 교육 이수
등록
www.aws.training/training/schedule?courseId=10021
Digital Classroom Overview
실습 환경에서 팀으로부터 수요가 많은 클라우드 기술을 가르치는 강사에게 디지털 교육을 받을 수 있습니다.
디지털 강의실 교육은 프레젠테이션, 대화형 실습을 혼합하여 새로운 클라우드 기술을 직접 경험할 수 있는 기회를 팀에게 제공합니다. 또한 AWS에서는 귀사의 팀이 원하는 시기에 원하는 장소에서 새로운 클라우드 기술을 구축하고 최신 서비스에 대해 배울 수 있도록 수백 개의 디지털 교육 과정도 제공합니다.
Digital Classroom – Architecting on AWS",0,0
"2년 이상 AWS 환경을 프로비저닝, 운영 및 관리한 경험",,,,"보안은 클라우드 고객과 클라우드 도입을 고려하는 고객 모두의 관심사입니다. 사이버 공격과 데이터 유출의 증가는 대부분의 업계 종사자들이 여전히 가장 염두에 두고 있는 문제입니다. Security Engineering on AWS 과정은 이러한 걱정을 다룰 수 있도록 안전한 방식으로 Amazon Web Services(AWS)와 상호 작용하고 구축하는 방법을 더 잘 이해하실 수 있도록 도와드립니다. 이 과정에서는 자격 증명 및 역할 관리, 계정 관리 및 프로비저닝, 그리고 비정상API 활동 모니터링에 대해 알아봅니다. 또한 AWS에 저장된 데이터를 보호하는 방법에 대해서도 배우게 됩니다. 이 과정에서는 보안 인시던트를 파악하는 데 도움이 되는 로그를 생성, 수집 및 모니터링하는 방법을 살펴봅니다. 마지막으로, AWS 서비스를 통한 보안 인시던트의 탐지 및 조사를 검토할 것입니다.","이 과정에서 학습할 내용은 다음과 같습니다.
CIA(기밀성, 무결성 및 가용성) 3요소를 기반으로 AWS 클라우드 보안을 이해합니다.
AWS Identity and Access Management(AWS IAM)로 인증 및 권한 부여를 생성 및 분석합니다.
적절한 AWS 서비스와 함께 AWS에서 계정을 관리하고 프로비저닝합니다.
AWS 서비스를 사용하여 비밀을 관리하는 방법을 파악합니다.
암호화 및 액세스 제어를 통해 민감한 정보를 모니터링하고 데이터를 보호합니다.
외부 소스의 공격에 대처하는 AWS 서비스를 파악합니다.
로그를 모니터링, 생성 및 수집합니다.
보안 인시던트의 지표를 식별합니다.
서비스를 사용하여 위협을 조사하고 완화하는 방법을 파악합니다.","보안 엔지니어
보안 아키텍트
클라우드 아키텍트",다음 과정 수료:,0,0
